Quest Name,Objective,Steps,Min Level,Max Level,First Step Position,Active Bots,Successful Bots,Unsuccessful Bots
Assessment - Part 2,"Zone meh_45_radio_area_mark_3",0,35,70,N/A,,,
Assessment - Part 2,"Zone meh_45_radio_area_mark_4",0,35,70,N/A,,,
Knock-Knock,"Zone meh_48_transponder_area_check_1",0,35,70,N/A,,,
Getting Acquainted,"Zone meh_50_visit_area_check_1",0,35,70,N/A,,,
Drug Trafficking,"Zone qlight_extension_medic1_exploration1",0,17,39,N/A,,,
Drug Trafficking,"Zone qlight_extension_medic1_hide1",0,17,39,N/A,,,
Reconnaissance,"Zone qlight_extension_prapor1_exploration1",0,18,41,N/A,,,
Reconnaissance,"Zone qlight_extension_prapor1_exploration2",0,18,41,N/A,,,
Reconnaissance,"Zone qlight_extension_prapor1_exploration3",0,18,41,N/A,,,
Top Secret,"Zone qlight_extension_bariga1_exploration1",0,35,70,N/A,,,
Broadcast - Part 1,"Zone qlight_extension_mechanik1_exploration1",0,12,29,N/A,,,
Broadcast - Part 1,"Zone qlight_extension_mechanik1_hide1",0,12,29,N/A,,,
Ballet Lover,"Zone quest_zone_c5_mar",0,20,45,N/A,,,
Glory to CPSU - Part 1,"Zone quest_zone_c6_kpss",0,15,35,N/A,,,
Audiophile,"Zone quest_zone_c7_mel",0,25,53,N/A,,,
House Arrest - Part 1,"Zone quest_zone_c8_dom1",0,33,66,N/A,,,
House Arrest - Part 2,"Zone quest_zone_c8_dom2",0,33,66,N/A,,,
House Arrest - Part 2,"Zone quest_zone_c8_dom2_dead",0,33,66,N/A,,,
Urban Medicine,"Zone quest_zone_c11_gmed",0,17,39,N/A,,,
Revision - Streets of Tarkov,"Zone quest_zone_place_c14_revx_1",0,17,39,N/A,,,
Revision - Streets of Tarkov,"Zone quest_zone_place_c14_revx_2",0,17,39,N/A,,,
Revision - Streets of Tarkov,"Zone quest_zone_place_c14_revx_3",0,17,39,N/A,,,
Green Corridor,"Zone quest_zone_c16_koll_1",0,20,45,N/A,,,
Green Corridor,"Zone quest_zone_c16_koll_2",0,20,45,N/A,,,
The Huntsman Path - Administrator,"Zone quest_zone_kill_c17_adm",0,23,50,N/A,,,
The Huntsman Path - Administrator,"Zone quest_zone_prod_flare",0,23,50,N/A,,,
Watching You,"Zone quest_zone_c21_look",0,20,45,N/A,,,
Broadcast - Part 2,"Zone quest_zone_c25_cinem",0,15,35,N/A,,,
Broadcast - Part 4,"Zone quest_zone_c27_sect",0,27,56,N/A,,,
Make Amends,"Zone meh_50_visit_area_check_1",0,0,99,N/A,,,
Road Closed,"Zone quest_zone_c16_koll_1",0,20,45,N/A,,,
Road Closed,"Zone quest_zone_c16_koll_2",0,20,45,N/A,,,
Information Source,"Zone quest_zone_place_c24_tigr1",0,35,70,N/A,,,
Information Source,"Zone quest_zone_place_c24_tigr2",0,35,70,N/A,,,
Missing Informant,"Zone quest_zone_keeper00",0,35,70,N/A,,,
Missing Informant,"Zone quest_zone_keeper99",0,35,70,N/A,,,
Snatch,"Zone tadeush_bmp2_area_mark_12",0,35,70,N/A,,,
Payback,"Zone quest_zone_keeper4_flare",0,35,70,N/A,,,
Return the Favor,"Zone quest_zone_keeper5",0,35,70,N/A,,,
Return the Favor,"Zone place_keeper5_1",0,35,70,N/A,,,
Return the Favor,"Zone place_keeper5_2",0,35,70,N/A,,,
Provocation,"Zone quest_zone_keeper6_kiba_kill",0,35,70,N/A,,,
Provocation,"Zone quest_zone_keeper6_kiba_hide",0,35,70,N/A,,,
Provocation,"Zone quest_zone_keeper6_safe_hide",0,35,70,N/A,,,
Provocation,"Zone quest_zone_keeper6_cont_hide",0,35,70,N/A,,,
Following the Bread Crumbs,"Zone quest_zone_keeper7_saferoom",0,35,70,N/A,,,
Following the Bread Crumbs,"Zone quest_zone_keeper7_test",0,35,70,N/A,,,
Spotter,"Zone quest_zone_keeper8_1",0,35,70,N/A,,,
Spotter,"Zone quest_zone_keeper8_1_hide1",0,35,70,N/A,,,
Spotter,"Zone quest_zone_keeper8_2",0,35,70,N/A,,,
Spotter,"Zone quest_zone_keeper8_1_hide2",0,35,70,N/A,,,
Trouble in the Big City,"Zone quest_zone_c16_koll_1",0,35,70,N/A,,,
Trouble in the Big City,"Zone quest_zone_keeper10_place",0,35,70,N/A,,,
Trouble in the Big City,"Zone quest_zone_last_flare",0,35,70,N/A,,,
Debtor,"Zone quest_zone_c29_debt",0,31,62,N/A,,,
Broadcast - Part 3,"Zone quest_zone_c25_cinem2",0,20,45,N/A,,,
The Delicious Sausage,"Zone quest_produkt1",0,5,17,N/A,,,
The Delicious Sausage,"Zone quest_produkt2",0,5,17,N/A,,,
The Delicious Sausage,"Zone quest_produkt3",0,5,17,N/A,,,
The Delicious Sausage,"Zone quest_produkt4",0,5,17,N/A,,,
Gendarmerie - Mall Cop,"Zone quest_zone_kill_stilo",0,21,47,N/A,,,
Gendarmerie - Tickets, Please,"Zone quest_zone_kill_cinema",0,21,47,N/A,,,
Broadcast - Part 5,"Zone quest_zone_find_2st_mech",0,27,56,N/A,,,
Broadcast - Part 5,"Zone quest_zone_hide_2st_mech",0,27,56,N/A,,,
The Door,"Zone quest_zone_find_sillent",0,15,35,N/A,,,
The Door,"Zone quest_zone_hide_sillent",0,15,35,N/A,,,
The Door,"Zone quest_zone_hide_sillent2",0,15,35,N/A,,,
Glory to CPSU - Part 2,"Zone quest_zone_find_2st_kpss2",0,15,35,N/A,,,
Pets Won't Need It,"Zone quest_zone_find_2st_med_invent1",0,12,29,N/A,,,
Pets Won't Need It,"Zone quest_zone_find_2st_med_invent2",0,12,29,N/A,,,
Blackmail,"Zone labCafe",0,0,99,N/A,,,
Spying Operation,"Zone redBlueZone",0,0,99,N/A,,,
Spying Operation,"Zone sanitarLabZone",0,0,99,N/A,,,
Bait,"Zone markedRoom314",0,0,99,N/A,,,
Bait,"Zone markedRoomRBBK",0,0,99,N/A,,,
Bait,"Zone markedShorelineRoom",0,0,99,N/A,,,
Spawn Points,"Spawn Point (-29.8, 0.2, 7.6)",1,0,99,"(-29.8, 0.2, 7.6)",,,
Spawn Points,"Spawn Point (13.8, -2.3, -21.7)",1,0,99,"(13.8, -2.3, -21.7)",,,
Spawn Points,"Spawn Point (-21.6, -2.6, 37.6)",1,0,99,"(-21.6, -2.6, 37.6)",,,
Spawn Points,"Spawn Point (59.6, 0.1, 22.2)",1,0,99,"(59.6, 0.1, 22.2)",,,
Spawn Points,"Spawn Point (-29.0, 0.2, 6.6)",1,0,99,"(-29.0, 0.2, 6.6)",,,
Spawn Points,"Spawn Point (-20.2, -2.6, 38.8)",1,0,99,"(-20.2, -2.6, 38.8)",,,
Spawn Points,"Spawn Point (61.0, 0.1, 21.0)",1,0,99,"(61.0, 0.1, 21.0)",,,
Spawn Points,"Spawn Point (-31.0, 0.2, 6.7)",1,0,99,"(-31.0, 0.2, 6.7)",,,
Spawn Points,"Spawn Point (70.5, 0.2, -61.8)",1,0,99,"(70.5, 0.2, -61.8)",,,
Spawn Points,"Spawn Point (-20.8, 0.2, 22.8)",1,0,99,"(-20.8, 0.2, 22.8)",,,
Spawn Points,"Spawn Point (46.2, 0.2, -37.0)",1,0,99,"(46.2, 0.2, -37.0)",,,
Spawn Points,"Spawn Point (60.4, 0.1, 19.3)",1,0,99,"(60.4, 0.1, 19.3)",,,
Spawn Points,"Spawn Point (-19.2, -3.8, -4.9)",1,0,99,"(-19.2, -3.8, -4.9)",,,
Spawn Points,"Spawn Point (-8.4, 0.0, -33.9)",1,0,99,"(-8.4, 0.0, -33.9)",,,
Spawn Points,"Spawn Point (-28.2, 0.2, 5.6)",1,0,99,"(-28.2, 0.2, 5.6)",,,
Spawn Points,"Spawn Point (28.5, 0.2, 17.0)",1,0,99,"(28.5, 0.2, 17.0)",,,
Spawn Points,"Spawn Point (67.9, 0.2, -60.4)",1,0,99,"(67.9, 0.2, -60.4)",,,
Spawn Points,"Spawn Point (-4.1, 0.0, -34.7)",1,0,99,"(-4.1, 0.0, -34.7)",,,
Spawn Points,"Spawn Point (-23.0, 1.1, 65.7)",1,0,99,"(-23.0, 1.1, 65.7)",,,
Spawn Points,"Spawn Point (19.9, -2.6, -1.3)",1,0,99,"(19.9, -2.6, -1.3)",,,
Spawn Points,"Spawn Point (-4.8, 0.0, -33.1)",1,0,99,"(-4.8, 0.0, -33.1)",,,
Spawn Points,"Spawn Point (-17.2, -2.6, 38.3)",1,0,99,"(-17.2, -2.6, 38.3)",,,
Spawn Points,"Spawn Point (-51.4, 1.4, 54.3)",1,0,99,"(-51.4, 1.4, 54.3)",,,
Spawn Points,"Spawn Point (-3.5, 0.0, -32.7)",1,0,99,"(-3.5, 0.0, -32.7)",,,
Spawn Points,"Spawn Point (-52.6, 1.4, 55.6)",1,0,99,"(-52.6, 1.4, 55.6)",,,
Spawn Points,"Spawn Point (35.5, 8.2, 36.4)",1,0,99,"(35.5, 8.2, 36.4)",,,
Spawn Points,"Spawn Point (-31.7, 0.2, 8.2)",1,0,99,"(-31.7, 0.2, 8.2)",,,
Spawn Points,"Spawn Point (68.5, 0.2, -4.8)",1,0,99,"(68.5, 0.2, -4.8)",,,
Spawn Points,"Spawn Point (8.1, 0.1, -8.6)",1,0,99,"(8.1, 0.1, -8.6)",,,
Spawn Points,"Spawn Point (-5.9, -3.9, -22.5)",1,0,99,"(-5.9, -3.9, -22.5)",,,
Spawn Points,"Spawn Point (69.6, 0.2, -60.4)",1,0,99,"(69.6, 0.2, -60.4)",,,
Spawn Points,"Spawn Point (4.7, 0.0, -35.1)",1,0,99,"(4.7, 0.0, -35.1)",,,
Spawn Points,"Spawn Point (-18.6, -2.6, 38.0)",1,0,99,"(-18.6, -2.6, 38.0)",,,
Spawn Points,"Spawn Point (17.0, -2.6, -2.1)",1,0,99,"(17.0, -2.6, -2.1)",,,
Spawn Points,"Spawn Point (-2.2, -3.9, -15.4)",1,0,99,"(-2.2, -3.9, -15.4)",,,
Spawn Points,"Spawn Point (32.2, 2.3, 18.7)",1,0,99,"(32.2, 2.3, 18.7)",,,
Spawn Points,"Spawn Point (43.6, 0.2, -36.7)",1,0,99,"(43.6, 0.2, -36.7)",,,
Spawn Points,"Spawn Point (46.1, 0.2, -39.2)",1,0,99,"(46.1, 0.2, -39.2)",,,
Spawn Points,"Spawn Point (69.8, 0.2, -6.1)",1,0,99,"(69.8, 0.2, -6.1)",,,
Spawn Points,"Spawn Point (57.9, 0.1, 22.0)",1,0,99,"(57.9, 0.1, 22.0)",,,
Spawn Points,"Spawn Point (-49.5, 1.4, 55.6)",1,0,99,"(-49.5, 1.4, 55.6)",,,
Spawn Points,"Spawn Point (-6.8, 0.2, 10.0)",1,0,99,"(-6.8, 0.2, 10.0)",,,
Spawn Points,"Spawn Point (-7.0, 0.0, -32.8)",1,0,99,"(-7.0, 0.0, -32.8)",,,
Spawn Points,"Spawn Point (23.8, -2.6, -30.7)",1,0,99,"(23.8, -2.6, -30.7)",,,
Spawn Points,"Spawn Point (-21.2, -2.6, 40.6)",1,0,99,"(-21.2, -2.6, 40.6)",,,
Spawn Points,"Spawn Point (43.6, 0.2, -38.9)",1,0,99,"(43.6, 0.2, -38.9)",,,
Spawn Points,"Spawn Point (-8.6, -3.9, -18.9)",1,0,99,"(-8.6, -3.9, -18.9)",,,
Spawn Points,"Spawn Point (58.6, 0.1, 19.7)",1,0,99,"(58.6, 0.1, 19.7)",,,
Spawn Points,"Spawn Point (30.2, 0.3, 15.2)",1,0,99,"(30.2, 0.3, 15.2)",,,
Spawn Points,"Spawn Point (36.0, 1.1, 38.3)",1,0,99,"(36.0, 1.1, 38.3)",,,
Spawn Points,"Spawn Point (-5.9, 0.1, -27.5)",1,0,99,"(-5.9, 0.1, -27.5)",,,
Spawn Points,"Spawn Point (-21.0, 1.1, 65.5)",1,0,99,"(-21.0, 1.1, 65.5)",,,
Spawn Points,"Spawn Point (68.6, 0.2, -61.4)",1,0,99,"(68.6, 0.2, -61.4)",,,
Spawn Points,"Spawn Point (-52.3, 1.4, 57.1)",1,0,99,"(-52.3, 1.4, 57.1)",,,
Spawn Points,"Spawn Point (45.0, 0.2, -37.6)",1,0,99,"(45.0, 0.2, -37.6)",,,
Spawn Points,"Spawn Point (69.3, 0.2, -62.6)",1,0,99,"(69.3, 0.2, -62.6)",,,
Spawn Points,"Spawn Point (-51.1, 1.4, 55.9)",1,0,99,"(-51.1, 1.4, 55.9)",F1oridaMan (Level 18),,
Spawn Points,"Spawn Point (31.8, 0.2, -0.3)",1,0,99,"(31.8, 0.2, -0.3)",,,
Spawn Points,"Spawn Point (22.3, -2.6, 0.2)",1,0,99,"(22.3, -2.6, 0.2)",,,
Spawn Points,"Spawn Point (-19.9, 1.1, 62.9)",1,0,99,"(-19.9, 1.1, 62.9)",,,
Spawn Points,"Spawn Point (70.0, 0.2, -8.1)",1,0,99,"(70.0, 0.2, -8.1)",,,
Spawn Points,"Spawn Point (22.4, 0.9, 4.3)",1,0,99,"(22.4, 0.9, 4.3)",,,
Spawn Points,"Spawn Point (30.7, 0.3, 20.5)",1,0,99,"(30.7, 0.3, 20.5)",,,
Spawn Points,"Spawn Point (68.6, 0.2, -8.9)",1,0,99,"(68.6, 0.2, -8.9)",,,
Spawn Points,"Spawn Point (18.4, -2.6, -1.3)",1,0,99,"(18.4, -2.6, -1.3)",,,
Spawn Points,"Spawn Point (26.5, -2.5, -34.4)",1,0,99,"(26.5, -2.5, -34.4)",,,
Spawn Points,"Spawn Point (35.9, 4.6, 35.3)",1,0,99,"(35.9, 4.6, 35.3)",,,
Spawn Points,"Spawn Point (-3.6, -3.9, -25.5)",1,0,99,"(-3.6, -3.9, -25.5)",,,
Spawn Points,"Spawn Point (30.8, 0.3, 15.2)",1,0,99,"(30.8, 0.3, 15.2)",,,
Spawn Points,"Spawn Point (-5.8, -3.9, -20.3)",1,0,99,"(-5.8, -3.9, -20.3)",,,
Spawn Points,"Spawn Point (-32.1, -2.6, 30.0)",1,0,99,"(-32.1, -2.6, 30.0)",,,
Spawn Points,"Spawn Point (68.5, 0.2, -7.3)",1,0,99,"(68.5, 0.2, -7.3)",,,
